id,name,border,image,champion_id
,aatroxloadscreen_1,0,skins\aatroxloadscreen_1.jpg,1
,aatroxloadscreen_11,0,skins\aatroxloadscreen_11.jpg,1
,aatroxloadscreen_11_le,0,skins\aatroxloadscreen_11_le.jpg,1
,aatroxloadscreen_2,0,skins\aatroxloadscreen_2.jpg,1
,aatroxloadscreen_20,0,skins\aatroxloadscreen_20.jpg,1
,aatroxloadscreen_21,0,skins\aatroxloadscreen_21.jpg,1
,aatroxloadscreen_3,0,skins\aatroxloadscreen_3.jpg,1
,aatroxloadscreen_30,0,skins\aatroxloadscreen_30.jpg,1
,aatroxloadscreen_30_le,0,skins\aatroxloadscreen_30_le.jpg,1
,aatroxloadscreen_31,0,skins\aatroxloadscreen_31.jpg,1
,aatroxloadscreen_31_le,0,skins\aatroxloadscreen_31_le.jpg,1
,aatroxloadscreen_31_le_upscayl_15x_realesrgan-x4plus,0,skins\aatroxloadscreen_31_le_upscayl_15x_realesrgan-x4plus.png,1
,aatroxloadscreen_33,0,skins\aatroxloadscreen_33.skins_aatrox_skin33.jpg,1
,aatroxloadscreen_33_le,0,skins\aatroxloadscreen_33_le.skins_aatrox_skin33.jpg,1
,aatroxloadscreen_7,0,skins\aatroxloadscreen_7.jpg,1
,aatroxloadscreen_8,0,skins\aatroxloadscreen_8.jpg,1
,aatroxloadscreen_9,0,skins\aatroxloadscreen_9.jpg,1
,ahriloadscreen_1,0,skins\ahriloadscreen_1.jpg,2.0
,ahriloadscreen_14,0,skins\ahriloadscreen_14.jpg,2.0
,ahriloadscreen_14_le,0,skins\ahriloadscreen_14_le.jpg,2.0
,ahriloadscreen_15,0,skins\ahriloadscreen_15.jpg,2.0
,ahriloadscreen_16_le,0,skins\ahriloadscreen_16_le.jpg,2.0
,ahriloadscreen_17,0,skins\ahriloadscreen_17.jpg,2.0
,ahriloadscreen_17_le,0,skins\ahriloadscreen_17_le.jpg,2.0
,ahriloadscreen_2,0,skins\ahriloadscreen_2.jpg,2.0
,ahriloadscreen_27,0,skins\ahriloadscreen_27.jpg,2.0
,ahriloadscreen_27_le,0,skins\ahriloadscreen_27_le.jpg,2.0
,ahriloadscreen_28,0,skins\ahriloadscreen_28.jpg,2.0
,ahriloadscreen_28_le,0,skins\ahriloadscreen_28_le.jpg,2.0
,ahriloadscreen_3,0,skins\ahriloadscreen_3.jpg,2.0
,ahriloadscreen_4,0,skins\ahriloadscreen_4.jpg,2.0
,ahriloadscreen_42,0,skins\ahriloadscreen_42.jpg,2.0
,ahriloadscreen_42_le,0,skins\ahriloadscreen_42_le.jpg,2.0
,ahriloadscreen_5,0,skins\ahriloadscreen_5.jpg,2.0
,ahriloadscreen_5_le,0,skins\ahriloadscreen_5_le.jpg,2.0
,ahriloadscreen_6,0,skins\ahriloadscreen_6.jpg,2.0
,ahriloadscreen_65_le,0,skins\ahriloadscreen_65_le.jpg,2.0
,ahriloadscreen_66,0,skins\ahriloadscreen_66.jpg,2.0
,ahriloadscreen_7,0,skins\ahriloadscreen_7.jpg,2.0
,ahriloadscreen_76,0,skins\ahriloadscreen_76.jpg,2.0
,ahriloadscreen_85,0,skins\ahriloadscreen_85.skins_ahri_hol.jpg,2.0
,ahriloadscreen_86,0,skins\ahriloadscreen_86.skins_ahri_hol.jpg,2.0
,akaliloadscreen_1,0,skins\akaliloadscreen_1.jpg,3.0
,akaliloadscreen_13,0,skins\akaliloadscreen_13.jpg,3.0
,akaliloadscreen_14,0,skins\akaliloadscreen_14.jpg,3.0
,akaliloadscreen_14_le,0,skins\akaliloadscreen_14_le.jpg,3.0
,akaliloadscreen_15,0,skins\akaliloadscreen_15.jpg,3.0
,akaliloadscreen_15_le,0,skins\akaliloadscreen_15_le.jpg,3.0
,akaliloadscreen_2,0,skins\akaliloadscreen_2.jpg,3.0
,akaliloadscreen_3,0,skins\akaliloadscreen_3.jpg,3.0
,akaliloadscreen_32,0,skins\akaliloadscreen_32.jpg,3.0
,akaliloadscreen_32_le,0,skins\akaliloadscreen_32_le.jpg,3.0
,akaliloadscreen_3_le,0,skins\akaliloadscreen_3_le.jpg,3.0
,akaliloadscreen_4,0,skins\akaliloadscreen_4.jpg,3.0
,akaliloadscreen_4_le,0,skins\akaliloadscreen_4_le.jpg,3.0
,akaliloadscreen_5,0,skins\akaliloadscreen_5.jpg,3.0
,akaliloadscreen_50,0,skins\akaliloadscreen_50.jpg,3.0
,akaliloadscreen_6,0,skins\akaliloadscreen_6.jpg,3.0
,akaliloadscreen_60,0,skins\akaliloadscreen_60.jpg,3.0
,akaliloadscreen_61,0,skins\akaliloadscreen_61.jpg,3.0
,akaliloadscreen_61_le,0,skins\akaliloadscreen_61_le.jpg,3.0
,akaliloadscreen_68,0,skins\akaliloadscreen_68.jpg,3.0
,akaliloadscreen_68_le,0,skins\akaliloadscreen_68_le.jpg,3.0
,akaliloadscreen_7,0,skins\akaliloadscreen_7.jpg,3.0
,akaliloadscreen_70,0,skins\akaliloadscreen_70.jpg,3.0
,akaliloadscreen_70_le,0,skins\akaliloadscreen_70_le.jpg,3.0
,akaliloadscreen_71,0,skins\akaliloadscreen_71.jpg,3.0
,akaliloadscreen_71_le,0,skins\akaliloadscreen_71_le.jpg,3.0
,akaliloadscreen_8,0,skins\akaliloadscreen_8.jpg,3.0
,akaliloadscreen_82,0,skins\akaliloadscreen_82.skins_akali_skin82.jpg,3.0
,akaliloadscreen_82_le,0,skins\akaliloadscreen_82_le.skins_akali_skin82.jpg,3.0
,akaliloadscreen_9,0,skins\akaliloadscreen_9.jpg,3.0
,akshanloadscreen_1,0,skins\akshanloadscreen_1.jpg,4.0
,akshanloadscreen_10,0,skins\akshanloadscreen_10.jpg,4.0
,akshanloadscreen_20,0,skins\akshanloadscreen_20.jpg,4.0
,alistarloadscreen_1,0,skins\alistarloadscreen_1.jpg,5.0
,alistarloadscreen_10,0,skins\alistarloadscreen_10.jpg,5.0
,alistarloadscreen_19,0,skins\alistarloadscreen_19.jpg,5.0
,alistarloadscreen_2,0,skins\alistarloadscreen_2.jpg,5.0
,alistarloadscreen_20,0,skins\alistarloadscreen_20.jpg,5.0
,alistarloadscreen_20_le,0,skins\alistarloadscreen_20_le.jpg,5.0
,alistarloadscreen_22,0,skins\alistarloadscreen_22.jpg,5.0
,alistarloadscreen_29,0,skins\alistarloadscreen_29.jpg,5.0
,alistarloadscreen_29_le,0,skins\alistarloadscreen_29_le.jpg,5.0
,alistarloadscreen_3,0,skins\alistarloadscreen_3.jpg,5.0
,alistarloadscreen_4,0,skins\alistarloadscreen_4.jpg,5.0
,alistarloadscreen_5,0,skins\alistarloadscreen_5.jpg,5.0
,alistarloadscreen_6,0,skins\alistarloadscreen_6.jpg,5.0
,alistarloadscreen_7,0,skins\alistarloadscreen_7.jpg,5.0
,alistarloadscreen_8,0,skins\alistarloadscreen_8.jpg,5.0
,alistarloadscreen_9,0,skins\alistarloadscreen_9.jpg,5.0
,ambessaloadscreen_1,0,skins\ambessaloadscreen_1.matcha_ambessa.jpg,6.0
,amumuloadscreen_1,0,skins\amumuloadscreen_1.jpg,7.0
,amumuloadscreen_17,0,skins\amumuloadscreen_17.jpg,7.0
,amumuloadscreen_2,0,skins\amumuloadscreen_2.jpg,7.0
,amumuloadscreen_23,0,skins\amumuloadscreen_23.jpg,7.0
,amumuloadscreen_24,0,skins\amumuloadscreen_24.jpg,7.0
,amumuloadscreen_2_le,0,skins\amumuloadscreen_2_le.jpg,7.0
,amumuloadscreen_3,0,skins\amumuloadscreen_3.jpg,7.0
,amumuloadscreen_34,0,skins\amumuloadscreen_34.jpg,7.0
,amumuloadscreen_34_le,0,skins\amumuloadscreen_34_le.jpg,7.0
,amumuloadscreen_4,0,skins\amumuloadscreen_4.jpg,7.0
,amumuloadscreen_44,0,skins\amumuloadscreen_44.jpg,7.0
,amumuloadscreen_4_le,0,skins\amumuloadscreen_4_le.jpg,7.0
,amumuloadscreen_5,0,skins\amumuloadscreen_5.jpg,7.0
,amumuloadscreen_6,0,skins\amumuloadscreen_6.jpg,7.0
,amumuloadscreen_7,0,skins\amumuloadscreen_7.jpg,7.0
,amumuloadscreen_8,0,skins\amumuloadscreen_8.jpg,7.0
,anivialoadscreen_1,0,skins\anivialoadscreen_1.jpg,8.0
,anivialoadscreen_17,0,skins\anivialoadscreen_17.jpg,8.0
,anivialoadscreen_1_le,0,skins\anivialoadscreen_1_le.jpg,8.0
,anivialoadscreen_2,0,skins\anivialoadscreen_2.jpg,8.0
,anivialoadscreen_27,0,skins\anivialoadscreen_27.jpg,8.0
,anivialoadscreen_27_le,0,skins\anivialoadscreen_27_le.jpg,8.0
,anivialoadscreen_3,0,skins\anivialoadscreen_3.jpg,8.0
,anivialoadscreen_37,0,skins\anivialoadscreen_37.jpg,8.0
,anivialoadscreen_37_le,0,skins\anivialoadscreen_37_le.jpg,8.0
,anivialoadscreen_4,0,skins\anivialoadscreen_4.jpg,8.0
,anivialoadscreen_46,0,skins\anivialoadscreen_46.jpg,8.0
,anivialoadscreen_5,0,skins\anivialoadscreen_5.jpg,8.0
,anivialoadscreen_6,0,skins\anivialoadscreen_6.jpg,8.0
,anivialoadscreen_7,0,skins\anivialoadscreen_7.jpg,8.0
,anivialoadscreen_8,0,skins\anivialoadscreen_8.jpg,8.0
,annieloadscreen_1,0,skins\annieloadscreen_1.jpg,9.0
